position,champion_name,matches,meanKDA,winRate,meanFinalScore
1,Leona,2,20.0,100.0,45.206043362923346
2,Senna,2,18.0,100.0,57.438517807353875
3,Zilean,1,18.0,100.0,36.908595335378095
4,MonkeyKing,2,14.944444444444445,50.0,50.30930426273326
5,Sona,3,13.296296296296298,100.0,33.850500790921906
6,Garen,1,10.5,100.0,75.78129628338435
7,Jinx,4,9.903968253968253,50.0,44.12351191918289
8,Lux,3,9.666666666666666,100.0,54.22404576179162
9,Ivern,2,9.5,100.0,53.349578402765715
10,Xayah,1,9.5,100.0,57.34682145484204
11,Urgot,1,9.0,100.0,67.86670123199737
12,Thresh,4,8.1,25.0,33.27233123697253
13,Ambessa,3,7.6190476190476195,100.0,60.28630913589908
14,Rammus,14,7.330725623582767,64.28571428571429,54.690184824859564
15,Ezreal,9,7.307407407407406,55.55555555555556,51.38941561153745
16,RekSai,2,7.178571428571429,50.0,63.95483667531221
17,XinZhao,3,6.925,33.33333333333333,54.92044290123255
18,Bard,2,6.9,50.0,41.53745741285101
19,Nunu,4,6.752380952380952,50.0,58.795338068263824
20,Sejuani,1,6.666666666666667,100.0,60.33501095953535
21,Swain,32,6.655543154761906,59.375,52.8348907557205
22,Rakan,2,6.571428571428571,50.0,42.47973003168476
23,Renekton,1,6.5,100.0,63.67897917764723
24,Quinn,1,6.0,100.0,70.26872653973395
25,Neeko,1,5.75,100.0,52.84961124125864
26,Alistar,4,5.7125,100.0,32.07801110517605
27,Milio,13,5.697469197469197,46.15384615384615,32.71184099108571
28,Braum,1,5.666666666666667,100.0,34.48128827149077
29,Zoe,2,5.25,100.0,49.72299008933052
30,Jhin,3,5.142857142857143,33.33333333333333,50.37966771986667
31,Ziggs,4,4.994047619047619,50.0,47.21875185509591
32,Kassadin,2,4.958333333333334,100.0,52.56724015009884
33,TwistedFate,7,4.77891156462585,42.857142857142854,43.71134720045171
34,Malphite,17,4.731232492997199,52.94117647058824,55.77895059854054
35,Janna,1,4.4,100.0,30.049980784705625
36,Veigar,6,4.366666666666666,50.0,45.146119134874034
37,Karma,4,4.125,50.0,26.51063355061831
38,Varus,2,4.038461538461538,50.0,34.30093785140188
39,Annie,2,3.95,100.0,46.13003149048891
40,Vladimir,4,3.7365079365079366,50.0,34.2957890329333
41,LeeSin,8,3.7214285714285715,50.0,49.34997123413892
42,Akali,1,3.7142857142857144,100.0,51.157866800609895
43,Galio,4,3.7107142857142854,50.0,39.079561893802605
44,Ahri,5,3.6904761904761907,60.0,39.86223557867176
45,Shen,2,3.5125,50.0,57.3791301497244
46,Sylas,41,3.511358560139048,65.85365853658537,48.934214685603436
47,Zyra,1,3.2857142857142856,100.0,38.84897101061758
48,Jayce,7,3.2417233560090706,71.42857142857143,54.54496005353632
49,Pyke,4,3.2236111111111114,50.0,32.22585822930508
50,Caitlyn,15,3.066060606060606,66.66666666666666,40.739899137418405
51,Teemo,4,3.014880952380952,50.0,62.41930399462113
52,MissFortune,7,2.9642857142857144,42.857142857142854,39.8239933017174
53,Ashe,12,2.9406565656565653,58.333333333333336,48.73849320144675
54,Jax,5,2.861666666666667,40.0,40.25701414597893
55,Qiyana,1,2.857142857142857,0.0,51.33906853064088
56,AurelionSol,1,2.857142857142857,100.0,58.54862656971214
57,Aphelios,2,2.821428571428571,50.0,50.14408015270962
58,Kaisa,4,2.8035714285714284,75.0,45.03842010793167
59,Pantheon,4,2.7708333333333335,50.0,32.85077307320532
60,Lucian,12,2.7465367965367964,50.0,40.00933894341534
61,DrMundo,10,2.6876190476190476,40.0,45.4710620964443
62,Gragas,6,2.6666666666666665,50.0,38.13354057790422
